# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2024-09-24,MICRO BITCOIN,21828,5109,9666,2347,127,-4557.0,2024-09-27
2024-09-24,Nano Bitcoin,35857,8663,14726,0,0,-6063.0,2024-09-27
2024-10-01,BITCOIN,28539,2690,20031,9163,359,-17341.0,2024-10-04
2024-10-01,MICRO BITCOIN,15521,3557,12395,2814,0,-8838.0,2024-10-04
2024-10-01,Nano Bitcoin,39999,430,21450,0,0,-21020.0,2024-10-04
2024-10-08,BITCOIN,29382,1980,20828,9632,359,-18848.0,2024-10-11
2024-10-08,MICRO BITCOIN,15447,2939,10834,2627,41,-7895.0,2024-10-11
2024-10-08,Nano Bitcoin,40614,170,19746,0,0,-19576.0,2024-10-11
2024-10-15,BITCOIN,34494,2795,23179,10112,540,-20384.0,2024-10-18
2024-10-15,MICRO BITCOIN,20255,6015,9699,2664,78,-3684.0,2024-10-18
2024-10-15,Nano Bitcoin,36132,7468,10343,0,0,-2875.0,2024-10-18
2024-10-22,BITCOIN,33562,3054,23303,9535,528,-20249.0,2024-10-25
2024-10-22,MICRO BITCOIN,23110,3834,14755,2943,89,-10921.0,2024-10-25
2024-10-22,Nano Bitcoin,39202,572,13709,0,0,-13137.0,2024-10-25
2024-10-29,BITCOIN,33787,3745,24660,10072,546,-20915.0,2024-11-01
2024-10-29,MICRO BITCOIN,33302,20140,24924,2915,125,-4784.0,2024-11-01
2024-10-29,Nano Bitcoin,31716,428,12225,0,0,-11797.0,2024-11-01
2024-11-05,BITCOIN,32011,3484,22738,9865,598,-19254.0,2024-11-08
2024-11-05,MICRO BITCOIN,27845,14437,20618,2982,42,-6181.0,2024-11-08
2024-11-05,Nano Bitcoin,52992,533,43240,79,0,-42707.0,2024-11-08
2024-11-12,BITCOIN,38531,4830,25189,11083,947,-20359.0,2024-11-15
2024-11-12,MICRO BITCOIN,55131,37036,46008,3180,151,-8972.0,2024-11-15
2024-11-12,Nano Bitcoin,52344,604,34608,0,0,-34004.0,2024-11-15
2024-11-19,BITCOIN,41203,4914,25022,11393,947,-20108.0,2024-11-22
2024-11-19,MICRO BITCOIN,50686,29463,39400,2586,122,-9937.0,2024-11-22
2024-11-19,Nano Bitcoin,54423,1855,36430,0,0,-34575.0,2024-11-22
2024-11-26,BITCOIN,40510,5300,24505,11119,960,-19205.0,2024-11-29
2024-11-26,MICRO BITCOIN,43039,17188,30699,2302,93,-13511.0,2024-11-29
2024-11-26,Nano Bitcoin,51895,270,37647,0,0,-37377.0,2024-11-29
2024-12-03,BITCOIN,37021,4094,25749,11038,922,-21655.0,2024-12-06
2024-12-03,MICRO BITCOIN,25030,8437,19618,2484,117,-11181.0,2024-12-06
2024-12-03,Nano Bitcoin,46399,402,31017,0,0,-30615.0,2024-12-06
2024-12-10,BITCOIN,37588,4657,25643,10889,828,-20986.0,2024-12-13
2024-12-10,MICRO BITCOIN,61688,32053,55705,2397,151,-23652.0,2024-12-13
2024-12-10,Nano Bitcoin,56952,764,43398,0,0,-42634.0,2024-12-13
2024-12-17,BITCOIN,42524,3653,26850,11452,854,-23197.0,2024-12-20
2024-12-17,MICRO BITCOIN,61025,28881,47462,2249,213,-18581.0,2024-12-20
2024-12-17,Nano Bitcoin,46955,473,24808,0,0,-24335.0,2024-12-20
2024-12-24,BITCOIN,37125,4140,25242,10767,781,-21102.0,2024-12-27
2024-12-24,MICRO BITCOIN,79479,49083,68782,2339,204,-19699.0,2024-12-27
2024-12-24,Nano Bitcoin,51528,467,30842,0,0,-30375.0,2024-12-27
2024-12-31,BITCOIN,33893,3771,23835,10520,750,-20064.0,2025-01-03
2024-12-31,MICRO BITCOIN,18387,4201,10001,2184,172,-5800.0,2025-01-03
2024-12-31,Nano Bitcoin,49419,520,37893,0,0,-37373.0,2025-01-03
2025-01-07,BITCOIN,35079,4035,25239,10244,705,-21204.0,2025-01-10
2025-01-07,MICRO BITCOIN,27608,3849,17232,2067,177,-13383.0,2025-01-10
2025-01-07,Nano Bitcoin,61043,487,48995,0,0,-48508.0,2025-01-10
2025-01-14,BITCOIN,35471,3877,25213,10346,527,-21336.0,2025-01-17
2025-01-14,MICRO BITCOIN,28909,3062,14871,955,198,-11809.0,2025-01-17
2025-01-14,Nano Bitcoin,53367,690,37922,0,0,-37232.0,2025-01-17
2025-01-21,BITCOIN,38556,2596,25465,11151,512,-22869.0,2025-01-24
2025-01-21,MICRO BITCOIN,28472,3840,10858,1613,69,-7018.0,2025-01-24
2025-01-21,Nano Bitcoin,53579,1208,39756,0,0,-38548.0,2025-01-24
2025-01-28,BITCOIN,34317,3497,25715,10212,675,-22218.0,2025-01-31
2025-01-28,MICRO BITCOIN,33713,6917,16289,2164,62,-9372.0,2025-01-31
2025-01-28,Nano Bitcoin,55337,1944,43247,0,0,-41303.0,2025-01-31
2025-02-04,BITCOIN,32892,3542,24540,9863,616,-20998.0,2025-02-07
2025-02-04,MICRO BITCOIN,27486,5824,17365,2176,62,-11541.0,2025-02-07
2025-02-04,Nano Bitcoin,54912,243,38851,0,0,-38608.0,2025-02-07
2025-02-11,BITCOIN,32949,3361,23444,9494,686,-20083.0,2025-02-14
2025-02-11,MICRO BITCOIN,27167,2790,17180,2178,81,-14390.0,2025-02-14
2025-02-11,Nano Bitcoin,62110,505,48031,0,0,-47526.0,2025-02-14
2025-02-18,BITCOIN,33833,4032,23814,9175,832,-19782.0,2025-02-21
2025-02-18,MICRO BITCOIN,33585,3244,22699,2042,82,-19455.0,2025-02-21
2025-02-18,Nano Bitcoin,60861,377,42423,0,0,-42046.0,2025-02-21
2025-02-25,BITCOIN,32060,3849,23048,8737,512,-19199.0,2025-02-28
2025-02-25,MICRO BITCOIN,30360,3491,18703,1476,99,-15212.0,2025-02-28
2025-02-25,Nano Bitcoin,62418,1780,44173,0,0,-42393.0,2025-02-28
2025-03-04,BITCOIN,28209,2809,21286,8324,433,-18477.0,2025-03-07
2025-03-04,MICRO BITCOIN,16288,3433,9665,1444,380,-6232.0,2025-03-07
2025-03-04,Nano Bitcoin,57789,3996,31014,0,0,-27018.0,2025-03-07
2025-03-11,BITCOIN,28545,2547,20818,7930,596,-18271.0,2025-03-14
2025-03-11,MICRO BITCOIN,19795,3627,12653,599,363,-9026.0,2025-03-14
2025-03-11,Nano Bitcoin,50833,740,23465,0,0,-22725.0,2025-03-14
2025-03-18,BITCOIN,30213,3381,21349,7653,693,-17968.0,2025-03-21
2025-03-18,MICRO BITCOIN,29903,7758,22663,1151,350,-14905.0,2025-03-21
2025-03-18,Nano Bitcoin,49579,1159,20979,0,0,-19820.0,2025-03-21
2025-03-25,BITCOIN,29036,1825,20637,8235,644,-18812.0,2025-03-28
2025-03-25,MICRO BITCOIN,23710,5568,16305,1096,385,-10737.0,2025-03-28
2025-03-25,Nano Bitcoin,45426,1657,7780,0,0,-6123.0,2025-03-28
2025-04-01,BITCOIN,27069,1963,19104,7991,599,-17141.0,2025-04-04
2025-04-01,MICRO BITCOIN,19916,7717,13124,1166,212,-5407.0,2025-04-04
2025-04-01,Nano Bitcoin,47208,2306,13663,0,0,-11357.0,2025-04-04
2025-04-08,BITCOIN,26909,2883,16828,7378,728,-13945.0,2025-04-11
2025-04-08,MICRO BITCOIN,33061,13675,25689,1085,270,-12014.0,2025-04-11
2025-04-08,Nano Bitcoin,53592,985,26479,0,0,-25494.0,2025-04-11
2025-04-15,BITCOIN,27126,888,15328,7300,559,-14440.0,2025-04-18
2025-04-15,MICRO BITCOIN,40915,20654,33515,446,287,-12861.0,2025-04-18
2025-04-15,Nano Bitcoin,49254,957,21823,0,0,-20866.0,2025-04-18
2025-04-22,BITCOIN,28202,1983,18186,8105,904,-16203.0,2025-04-25
2025-04-22,MICRO BITCOIN,39271,14545,25675,355,523,-11130.0,2025-04-25
2025-04-22,Nano Bitcoin,63134,31762,9831,0,0,21931.0,2025-04-25
2025-04-29,BITCOIN,26966,2162,18060,8128,509,-15898.0,2025-05-02
2025-04-29,MICRO BITCOIN,20731,6170,9266,1321,475,-3096.0,2025-05-02
2025-04-29,Nano Bitcoin,45278,219,16106,0,0,-15887.0,2025-05-02
2025-05-06,BITCOIN,27971,3156,19432,7805,423,-16276.0,2025-05-09
2025-05-06,MICRO BITCOIN,22534,5274,10792,1790,451,-5518.0,2025-05-09
2025-05-06,Nano Bitcoin,48060,283,17251,0,0,-16968.0,2025-05-09
2025-05-13,BITCOIN,29070,3043,17182,8623,451,-14139.0,2025-05-16
2025-05-13,MICRO BITCOIN,26467,3630,8173,2545,211,-4543.0,2025-05-16
2025-05-13,Nano Bitcoin,47683,679,22305,0,0,-21626.0,2025-05-16
2025-05-20,BITCOIN,32033,3128,17839,8943,439,-14711.0,2025-05-23
2025-05-20,MICRO BITCOIN,32748,5778,13453,2719,209,-7675.0,2025-05-23
2025-05-20,Nano Bitcoin,50920,2935,17352,0,0,-14417.0,2025-05-23
2025-05-27,BITCOIN,31964,3525,18786,9148,414,-15261.0,2025-05-30
2025-05-27,MICRO BITCOIN,39926,7875,18486,2904,353,-10611.0,2025-05-30
2025-05-27,Nano Bitcoin,57710,438,26476,0,0,-26038.0,2025-05-30
2025-06-03,BITCOIN,29758,4040,18484,8591,449,-14444.0,2025-06-06
2025-06-03,MICRO BITCOIN,25839,6958,9433,2501,417,-2475.0,2025-06-06
2025-06-03,Nano Bitcoin,65064,930,40762,0,0,-39832.0,2025-06-06
2025-06-10,BITCOIN,30261,3649,18785,8737,525,-15136.0,2025-06-13
2025-06-10,MICRO BITCOIN,30189,7854,10311,2490,516,-2457.0,2025-06-13
2025-06-10,Nano Bitcoin,68778,982,43416,0,0,-42434.0,2025-06-13
2025-06-17,BITCOIN,30860,3782,18800,8675,551,-15018.0,2025-06-20
2025-06-17,MICRO BITCOIN,38508,9845,19889,2530,441,-10044.0,2025-06-20
2025-06-17,Nano Bitcoin,71974,35,43945,0,0,-43910.0,2025-06-20
2025-06-24,BITCOIN,31352,3429,19112,8747,516,-15683.0,2025-06-27
2025-06-24,MICRO BITCOIN,34802,7188,15914,1808,472,-8726.0,2025-06-27
2025-06-24,Nano Bitcoin,68864,620,46114,0,0,-45494.0,2025-06-27
2025-07-01,BITCOIN,29388,3712,18353,8519,549,-14641.0,2025-07-04
2025-07-01,MICRO BITCOIN,22284,5448,14895,1790,778,-9447.0,2025-07-04
2025-07-01,Nano Bitcoin,51505,335,31903,0,0,-31568.0,2025-07-04
2025-07-08,BITCOIN,29591,3940,18764,8955,516,-14824.0,2025-07-11
2025-07-08,MICRO BITCOIN,25413,7056,14543,3594,776,-7487.0,2025-07-11
2025-07-08,Nano Bitcoin,59370,193,38348,0,0,-38155.0,2025-07-11
2025-07-15,BITCOIN,31309,5258,19605,9199,465,-14347.0,2025-07-18
2025-07-15,MICRO BITCOIN,29424,6862,16639,3559,523,-9777.0,2025-07-18
2025-07-15,Nano Bitcoin,64096,145,44019,0,0,-43874.0,2025-07-18
2025-07-22,BITCOIN,30797,4724,19707,9131,458,-14983.0,2025-07-25
2025-07-22,MICRO BITCOIN,35822,7318,19730,3373,482,-12412.0,2025-07-25
2025-07-22,NANO BITCOIN PERP STYLE,9722,0,974,0,0,-974.0,2025-07-25
