# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2024-08-27,MICRO ETHER,64821,28861,54908,3268,5469,-26047.0,2024-08-30
2024-08-27,NANO ETHER,22314,775,14974,0,0,-14199.0,2024-08-30
2024-09-03,ETHER CASH SETTLED,5939,802,2896,3098,85,-2094.0,2024-09-06
2024-09-03,MICRO ETHER,24275,4870,7836,3701,2454,-2966.0,2024-09-06
2024-09-03,NANO ETHER,15840,911,10743,0,0,-9832.0,2024-09-06
2024-09-10,ETHER CASH SETTLED,6204,1029,3003,2978,129,-1974.0,2024-09-13
2024-09-10,MICRO ETHER,26449,5765,21052,5356,2144,-15287.0,2024-09-13
2024-09-10,NANO ETHER,19061,1714,14580,0,0,-12866.0,2024-09-13
2024-09-17,ETHER CASH SETTLED,6718,1141,3244,1354,148,-2103.0,2024-09-20
2024-09-17,MICRO ETHER,31443,5778,20879,4851,2670,-15101.0,2024-09-20
2024-09-17,NANO ETHER,18543,933,12728,0,0,-11795.0,2024-09-20
2024-09-24,ETHER CASH SETTLED,6489,998,3373,1541,122,-2375.0,2024-09-27
2024-09-24,MICRO ETHER,28488,4503,16842,2211,2673,-12339.0,2024-09-27
2024-09-24,NANO ETHER,20040,509,14222,0,0,-13713.0,2024-09-27
2024-10-01,ETHER CASH SETTLED,6087,1023,2873,1423,168,-1850.0,2024-10-04
2024-10-01,MICRO ETHER,21566,8483,13678,2108,1782,-5195.0,2024-10-04
2024-10-01,NANO ETHER,16700,741,11429,0,0,-10688.0,2024-10-04
2024-10-08,ETHER CASH SETTLED,6198,730,2887,1390,162,-2157.0,2024-10-11
2024-10-08,MICRO ETHER,32966,15774,13381,1335,2560,2393.0,2024-10-11
2024-10-08,NANO ETHER,21654,518,14276,0,0,-13758.0,2024-10-11
2024-10-15,ETHER CASH SETTLED,6413,820,3631,1476,271,-2811.0,2024-10-18
2024-10-15,MICRO ETHER,32079,12161,6248,1027,2586,5913.0,2024-10-18
2024-10-15,NANO ETHER,26237,1118,17917,0,0,-16799.0,2024-10-18
2024-10-22,ETHER CASH SETTLED,7262,893,3375,1534,407,-2482.0,2024-10-25
2024-10-22,MICRO ETHER,40834,17335,9581,1260,2625,7754.0,2024-10-25
2024-10-22,NANO ETHER,28146,854,21270,0,0,-20416.0,2024-10-25
2024-10-29,ETHER CASH SETTLED,7031,1324,3921,1557,283,-2597.0,2024-11-01
2024-10-29,MICRO ETHER,30683,14583,16471,1405,2516,-1888.0,2024-11-01
2024-10-29,NANO ETHER,21347,233,17616,0,0,-17383.0,2024-11-01
2024-11-05,ETHER CASH SETTLED,7214,1482,3429,1545,490,-1947.0,2024-11-08
2024-11-05,MICRO ETHER,48042,32143,35701,300,3110,-3558.0,2024-11-08
2024-11-05,NANO ETHER,30419,900,24380,0,0,-23480.0,2024-11-08
2024-11-12,ETHER CASH SETTLED,10781,1656,5274,2556,91,-3618.0,2024-11-15
2024-11-12,MICRO ETHER,94961,48150,76918,1004,3070,-28768.0,2024-11-15
2024-11-12,NANO ETHER,43509,1481,38860,0,0,-37379.0,2024-11-15
